epoch,train_loss,train_token_accuracy,val_loss,val_token_accuracy,val_exact_match,learning_rate,epoch_seconds
1.0,3.0340291125864924,0.3238701037830599,2.2481925304119406,0.4279089376053963,0.06625,0.0008728349330271447,5.395383299997775
2.0,2.223338507398774,0.43013056578506864,2.037360723202045,0.4831365935919056,0.11375,0.0017456698660542893,6.45967899999232
3.0,2.0786430745185176,0.46769333779712086,2.090335094011747,0.4717537942664418,0.10375,0.002618504799081434,4.998042400024133
4.0,2.039225407793552,0.4812855708068296,2.0098579204999485,0.4557335581787521,0.11,0.0034913397321085786,5.080212400003802
5.0,2.042653571201276,0.4711750920656177,2.1245649411128116,0.44814502529510963,0.1025,0.004364174665135724,5.1101938000065275
6.0,2.072583400750462,0.4640776699029126,1.959289734180157,0.4700674536256324,0.09375,0.004059811265385194,5.51633280000533
7.0,2.041706198378454,0.46106461332440574,1.9599037445508516,0.474283305227656,0.1125,0.0037586548707766484,6.618369200004963
8.0,2.0045413669151597,0.46488115165718114,1.9372860468350923,0.45193929173693087,0.09375,0.0035158996903938253,6.804633099993225
9.0,1.9733606320393235,0.46930030130565786,1.8975403950764582,0.4688026981450253,0.09625,0.0033148220173988756,7.127242899994599
10.0,1.9622927421255956,0.47037161031134916,1.8588232535582323,0.48903878583473864,0.10625,0.0031447162839164226,6.934744600002887
11.0,1.9392752089077914,0.4820220957482424,1.8773999214172363,0.4856661045531197,0.09875,0.0029983693305057294,7.141086300020106
12.0,1.8888853863824773,0.48416471375962505,1.853363431417025,0.4860876897133221,0.11875,0.0028707200760914086,7.411623399995733
13.0,1.8839912007126627,0.48938734516237026,1.8309316084935114,0.4831365935919056,0.10125,0.0027580986352542993,7.433773199998541
14.0,1.860058358952969,0.49427519250083696,1.8228579667898326,0.4675379426644182,0.0975,0.0026577703472660144,7.6311543000047095
15.0,1.8387819664387763,0.5019082691663876,1.7693089980345507,0.49494097807757165,0.13,0.002567650093805503,8.057614799996372
16.0,1.817351356337342,0.5094743890190827,1.744968450986422,0.5181281618887015,0.12875,0.0024861165130491566,8.07606510000187
17.0,1.8217261667493023,0.5067961165048543,1.7322361836066613,0.5012647554806071,0.12375,0.0024118872896221034,8.09113429998979
18.0,1.802227522753462,0.5092065617676599,1.8116632608266978,0.48271500843170323,0.115,0.0023439331269292166,8.459271100000478
19.0,1.7945029463949083,0.5155005021760964,1.7221968265680165,0.5257166947723441,0.135,0.002281416977315577,8.397142200003145
20.0,1.7764587010009378,0.5169065952460663,1.7402724486130934,0.5033726812816189,0.11875,0.002223650209265063,8.544451699999627
21.0,1.7683353650419018,0.523602276531637,1.730590013357309,0.5059021922428331,0.11875,0.0021700604014337956,8.789951300015673
22.0,1.7577621966977663,0.5243388014730499,1.713227024445167,0.5269814502529511,0.1475,0.00212016728610237,8.504875500017079
23.0,1.7438523180877106,0.5327753598928691,1.731581211090088,0.5172849915682968,0.14,0.002073564511984251,8.965462199994363
24.0,1.7371722942666163,0.5330431871442919,1.7059103892399714,0.5290893760539629,0.12125,0.002029905632692597,9.300164099986432
25.0,1.7254885902887658,0.5371275527284901,1.7046340245466967,0.515177065767285,0.12625,0.001988893210439325,9.020814599993173
26.0,1.7086027060882956,0.5427519250083696,1.6825552903688872,0.5278246205733558,0.13625,0.001950270248169677,9.291890399996191
27.0,1.724908739705629,0.5428188818212253,1.695593338746291,0.5223440134907251,0.1275,0.001913813384060939,9.343601800006581
28.0,1.7036328013939193,0.5475058587211249,1.6938512416986318,0.5236087689713322,0.13375,0.0018793274353883242,9.656631400022889
29.0,1.6862263015553922,0.5547371945095414,1.6702395035670354,0.5375210792580101,0.13,0.0018466409865528642,9.886548000009498
30.0,1.6828498629075062,0.5633746233679277,1.6605804975216205,0.534991568296796,0.12375,0.0018156027930441463,9.981320699997013
31.0,1.67028400113311,0.5595580850351524,1.6459100796626165,0.5434232715008431,0.1325,0.0017860788287997848,10.63266279999516
32.0,1.670389849928361,0.5610980917308336,1.6993355384239783,0.5096964586846543,0.11,0.0017579498451969126,10.120397699996829
33.0,1.6473679331284534,0.5657181118178775,1.6267954477897058,0.5556492411467117,0.15,0.001731109340097401,13.574889499985147
34.0,1.6409994786298727,0.56973552058922,1.6389221411484938,0.5413153456998314,0.13125,0.001705461857949432,20.171814500004984
35.0,1.6324103693418865,0.578439906260462,1.6674863466849694,0.531618887015177,0.13,0.0016809215590034546,20.460175099986373
36.0,1.628888791120505,0.5727485771677269,1.6638378913585956,0.531618887015177,0.13375,0.0016574110086994378,21.10823050001636
37.0,1.6253394341167016,0.5766990291262136,1.6577213727510893,0.5379426644182125,0.12875,0.0016348601482736296,20.892122499994002
38.0,1.6218351472782184,0.5787077335118849,1.6579450093782866,0.5358347386172007,0.135,0.0016132054153739604,20.323011700005736
39.0,1.610238998751097,0.582122530967526,1.6674296580828154,0.5337268128161888,0.12,0.001592388989515609,20.323571599990828
40.0,1.6085600324823885,0.58439906260462,1.6467481026282678,0.5493254637436762,0.1425,0.0015723581419582113,20.455705600004876
41.0,1.6054160579850403,0.5878138600602612,1.650954008102417,0.5383642495784149,0.1475,0.0015530646733450822,20.83224380001775
42.0,1.5914125291607049,0.5922999665215936,1.6437537670135498,0.5421585160202361,0.12875,0.0015344644254382386,20.49967459999607
43.0,1.575209149831458,0.6,1.649173406454233,0.5476391231028668,0.1425,0.0015165168556811066,20.57211130001815
