epoch,train_loss,train_token_accuracy,val_loss,val_token_accuracy,val_exact_match,learning_rate,epoch_seconds
1.0,3.1122973780088787,0.3229996652159357,2.3193530486180234,0.42833052276559863,0.0725,0.0008728349330271447,15.273129399982281
2.0,2.2676342650304866,0.4247070639437563,2.129856531436627,0.42074198988195616,0.06625,0.0017456698660542893,14.974285900010727
3.0,2.0746730807461318,0.4737194509541346,1.9605743059745202,0.49325463743676223,0.115,0.002618504799081434,14.601945400005206
4.0,2.025364066981062,0.48905256109809175,1.9754217037787805,0.48355817875210794,0.11125,0.0034913397321085786,14.64767100001336
5.0,2.025120904174032,0.4794777368597255,2.031795941866361,0.4405564924114671,0.09625,0.004364174665135724,14.582505800004583
6.0,2.0257997512817383,0.46903247405423504,1.9049160938996534,0.4784991568296796,0.11375,0.004059811265385194,14.575712500023656
7.0,1.9915147023864939,0.47599598259122866,2.012407632974478,0.47681281618887017,0.12125,0.0037586548707766484,14.526487399998587
8.0,1.96485499943359,0.47418814864412456,1.939964826290424,0.4797639123102867,0.12375,0.0035158996903938253,14.692622200003825
9.0,1.9219070552270623,0.48844994978239037,1.875712358034574,0.49873524451939294,0.11625,0.0033148220173988756,14.815042000001995
10.0,1.905313626120362,0.4872447271509876,1.8336296264941876,0.4945193929173693,0.1125,0.0031447162839164226,14.750038600002881
11.0,1.8756235581410081,0.4988282557750251,1.812272649544936,0.48988195615514335,0.1025,0.0029983693305057294,14.841280200023903
12.0,1.8761342960067942,0.4930030130565785,1.8296940876887395,0.4869308600337268,0.105,0.0028707200760914086,15.032970200001728
13.0,1.850884813296644,0.5030465349849347,1.787738011433528,0.48440134907251264,0.115,0.0027580986352542993,15.117501800006721
14.0,1.8393093075933336,0.501841312353532,1.7793170030300434,0.5004215851602024,0.11125,0.0026577703472660144,15.3283457000216
15.0,1.8255770417708386,0.5063943756277202,1.7724666595458984,0.5008431703204047,0.1175,0.002567650093805503,15.6957468999899
16.0,1.800104230265074,0.5152326749246736,1.7672174802193275,0.5016863406408094,0.115,0.0024861165130491566,15.752636999997776
17.0,1.7929405683203588,0.5205892199531302,1.7526011925477247,0.4974704890387858,0.1325,0.0024118872896221034,15.768457500002114
18.0,1.7768962353090696,0.5248744559758955,1.7249587865976186,0.5101180438448567,0.11625,0.0023439331269292166,16.112715499999467
19.0,1.7699515412125406,0.5251422832273184,1.733285693021921,0.49072512647554806,0.105,0.002281416977315577,16.26438350000535
20.0,1.756338950953906,0.5337797120857047,1.7306773204069872,0.5088532883642496,0.10125,0.002223650209265063,16.64622490000329
21.0,1.7580668880969663,0.5283562102443924,1.6865374216666589,0.5290893760539629,0.13125,0.0021700604014337956,16.56395280000288
22.0,1.7348731107349638,0.5327084030800134,1.7060678830513587,0.515177065767285,0.09625,0.00212016728610237,16.60234810001566
23.0,1.7239757610272757,0.5369936391027788,1.6689990942294781,0.5299325463743676,0.14375,0.002073564511984251,16.605603599979077
24.0,1.709365760223775,0.5410110478741212,1.69211928661053,0.5177065767284992,0.11875,0.002029905632692597,16.538024399982532
25.0,1.7014248054238814,0.5436893203883495,1.6725523655231183,0.521079258010118,0.125,0.001988893210439325,16.558794000011403
26.0,1.6826400666297237,0.5585537328423167,1.682912643139179,0.5252951096121417,0.1225,0.001950270248169677,16.801542200002586
27.0,1.6896956132937082,0.5458988952125878,1.6232106043742254,0.5493254637436762,0.16,0.001913813384060939,16.868112700001802
28.0,1.674952715258055,0.5600267827251423,1.665799773656405,0.5328836424957841,0.13875,0.0018793274353883242,16.055481199990027
29.0,1.6861268810079069,0.555741546702377,1.6723573941450853,0.5396290050590219,0.13375,0.0018466409865528642,13.601622100017266
30.0,1.6744408788560312,0.5582189487780381,1.7175704882695124,0.53035413153457,0.13875,0.0018156027930441463,13.765041599981487
31.0,1.6695891482920586,0.5614998326079679,1.663915441586421,0.5396290050590219,0.12125,0.0017860788287997848,13.647491900017485
32.0,1.651179642616948,0.5674589889521259,1.6610054602989783,0.5370994940978078,0.13125,0.0017579498451969126,13.511730300000636
33.0,1.6408100113084045,0.5728155339805825,1.6439020450298603,0.5484822934232715,0.14375,0.001731109340097401,14.029956499987748
34.0,1.6341933992844593,0.5724137931034483,1.6546786381648138,0.5459527824620574,0.14125,0.001705461857949432,14.409753000014462
35.0,1.6355529827407644,0.5773685972547706,1.6740042429703932,0.540893760539629,0.14875,0.0016809215590034546,14.039686800009804
36.0,1.61831289907045,0.5807833947104117,1.651179891366225,0.5421585160202361,0.115,0.0016574110086994378,13.945547699986491
37.0,1.6136994814570946,0.5820555741546702,1.6255505910286536,0.5476391231028668,0.1375,0.0016348601482736296,13.945832600002177
38.0,1.623921893819978,0.5793103448275863,1.677950694010808,0.5307757166947723,0.1425,0.0016132054153739604,14.456962900003418
39.0,1.6174043100091475,0.5812520924004018,1.647032279234666,0.5463743676222597,0.15875,0.001592388989515609,14.488947999983793
40.0,1.6089391240590736,0.5815199196518246,1.6255900309636042,0.5476391231028668,0.1475,0.0015723581419582113,13.881427599990275
41.0,1.6015463720394085,0.5887512554402411,1.6587801621510432,0.540893760539629,0.15125,0.0015530646733450822,13.837866399990162
42.0,1.6073220817348626,0.5853364579845999,1.655092633687533,0.5295109612141653,0.13375,0.0015344644254382386,14.097875800012844
43.0,1.5944948981079874,0.596116504854369,1.6243139230287993,0.5501686340640809,0.14625,0.0015165168556811066,13.88308169998345
44.0,1.5912765415408943,0.6,1.6377740915005023,0.5396290050590219,0.1275,0.0014991846652528647,13.783583100012038
45.0,1.5760765950891036,0.5986608637428859,1.634466629761916,0.5564924114671164,0.14375,0.0014824334728433751,14.47616660001222
46.0,1.566870776912834,0.6099765651155005,1.6682138718091524,0.554806070826307,0.1525,0.0014662315276518382,18.239053900004365
47.0,1.5758608700353889,0.6002678272514228,1.6589070008351252,0.5463743676222597,0.13,0.001450549456154762,17.858127999992575
48.0,1.5806005544300321,0.5948443254101105,1.6523357629776,0.5446880269814502,0.14125,0.0014353600380457043,17.95255200000247
49.0,1.5688245341747622,0.6062939404084365,1.671831699518057,0.5434232715008431,0.13625,0.001420638007456661,18.162079699977767
50.0,1.552942541581166,0.6129226648811517,1.6390118140440721,0.545531197301855,0.13375,0.00140635987615753,18.070034600008512
