attention_mode,best_val_exact_match,test_loss,test_token_accuracy,test_exact_match,best_checkpoint,metrics_csv
standard,0.1525,1.6596426505308886,0.5322847682119205,0.13875,checkpoints\standard_best.pt,outputs\standard_metrics.csv
shared_kv,0.16,1.6530018861477191,0.5227649006622517,0.11625,checkpoints\shared_kv_best.pt,outputs\shared_kv_metrics.csv
